holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,low
,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,low
,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,low
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,medium
,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,high
,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,high
,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,high
,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,high
,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,high
,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,high
,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,high
,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,high
,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,high
,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,high
,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,high
,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,high
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,high
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,high
,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,high
,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,high
,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,medium
,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,medium
,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,low
,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,low
,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,low
,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,medium
,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,medium
,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,high
,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,high
,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,high
,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,high
,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,high
,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,high
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,high
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,high
,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,high
,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,high
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,high
,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,high
,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,high
,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,high
,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,medium
,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,medium
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,low
,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,low
,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,low
,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,low
,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,medium
,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,high
,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,high
,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,high
,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,high
,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,high
,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,high
,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,high
,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,high
,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,high
,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,high
,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,high
,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,high
,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,high
,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,high
,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,high
,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,high
,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,high
,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,medium
,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,medium
,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,low
,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,low
,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,low
,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,medium
,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,high
,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,high
,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,high
,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,high
,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,high
,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,high
,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,high
,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,high
,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,high
,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,high
,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,high
,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,high
,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,high
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,high
,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,high
,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,high
,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,high
,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,medium
,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,medium
,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,low
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,low
,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,low
,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,low
,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,high
,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,high
,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,high
,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,high
,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,high
,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,high
,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,high
,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,high
,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,high
,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,high
,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,high
,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,high
,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,high
,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,high
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,high
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,high
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,high
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,high
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,medium
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,medium
,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,low
,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,low
,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,medium
,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,high
,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,high
,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,high
,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,high
,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,high
,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,high
,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,high
,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,high
,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,high
,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,high
,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,high
,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,high
,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,high
,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,high
,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,high
,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,medium
,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,low
,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,low
,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,low
,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,low
,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,low
,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,high
,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,high
,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,high
,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,high
,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,high
,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,high
,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,high
,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,high
,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,high
,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,high
,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,high
,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,high
,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,high
,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,high
,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,medium
,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,medium
,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,medium
,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,low
,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,low
,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,low
,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,low
,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,medium
,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,high
,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,high
,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,high
,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,high
,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,high
,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,high
,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,high
,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,high
,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,high
,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,high
,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,high
,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,high
,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,high
,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,high
,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,high
,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,high
,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,medium
,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,medium
,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,medium
,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,low
,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,low
,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,low
,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,low
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,medium
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,medium
,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,medium
,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,high
,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,high
,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,high
,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,high
,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,high
,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,high
,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,high
,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,high
,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,high
,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,high
,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,high
,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,high
,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,high
,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,high
,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,high
,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,high
,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,high
,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,high
,284.68,0.0,0.0,93,Mist,mist,2012-10-14 16:00:00,high
,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,high
,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,high
,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,high
,284.17,0.0,0.0,93,Mist,mist,2012-10-14 19:00:00,high
,284.03,0.0,0.0,93,Mist,mist,2012-10-14 20:00:00,high
,283.58,0.0,0.0,93,Mist,mist,2012-10-14 21:00:00,high
,283.04,0.0,0.0,93,Mist,mist,2012-10-14 22:00:00,medium
,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,medium
,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,medium
,281.61,0.0,0.0,93,Mist,mist,2012-10-15 00:00:00,low
,281.61,0.0,0.0,93,Fog,fog,2012-10-15 00:00:00,low
,281.57,0.0,0.0,85,Fog,fog,2012-10-15 01:00:00,low
,281.42,0.0,0.0,85,Fog,fog,2012-10-15 02:00:00,low
,281.29,0.0,0.0,85,Mist,mist,2012-10-15 03:00:00,low
,281.29,0.0,0.0,85,Fog,fog,2012-10-15 03:00:00,low
,281.02,0.0,0.0,85,Mist,mist,2012-10-15 04:00:00,medium
,281.02,0.0,0.0,85,Fog,fog,2012-10-15 04:00:00,medium
,280.82,0.0,0.0,85,Mist,mist,2012-10-15 05:00:00,high
,280.82,0.0,0.0,85,Fog,fog,2012-10-15 05:00:00,high
,280.39,0.0,0.0,85,Mist,mist,2012-10-15 06:00:00,high
,280.19,0.0,0.0,100,Mist,mist,2012-10-15 07:00:00,high
,279.82,0.0,0.0,100,Mist,mist,2012-10-15 08:00:00,high
,279.75,0.0,0.0,100,Mist,mist,2012-10-15 09:00:00,high
,280.07,0.0,0.0,100,Mist,mist,2012-10-15 10:00:00,high
,280.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-15 11:00:00,high
,281.72,0.0,0.0,100,Clear,sky is clear,2012-10-15 12:00:00,high
,284.01,0.0,0.0,40,Clouds,scattered clouds,2012-10-15 13:00:00,high
,285.88,0.0,0.0,1,Clear,sky is clear,2012-10-15 14:00:00,high
,286.87,0.0,0.0,1,Clear,sky is clear,2012-10-15 15:00:00,high
,287.6,0.0,0.0,20,Clouds,few clouds,2012-10-15 16:00:00,high
,287.27,0.0,0.0,20,Clouds,few clouds,2012-10-15 17:00:00,high
,286.18,0.0,0.0,20,Clouds,few clouds,2012-10-15 18:00:00,high
,285.2,0.0,0.0,75,Clouds,broken clouds,2012-10-15 19:00:00,high
,284.68,0.0,0.0,75,Clouds,broken clouds,2012-10-15 20:00:00,high
,284.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-15 21:00:00,high
,283.54,0.0,0.0,20,Clouds,few clouds,2012-10-15 22:00:00,medium
,282.33,0.0,0.0,75,Clouds,broken clouds,2012-10-15 23:00:00,medium
,281.21,0.0,0.0,20,Clouds,few clouds,2012-10-16 00:00:00,low
,279.87,0.0,0.0,1,Clear,sky is clear,2012-10-16 01:00:00,low
,278.93,0.0,0.0,1,Clear,sky is clear,2012-10-16 02:00:00,low
,277.91,0.0,0.0,1,Clear,sky is clear,2012-10-16 03:00:00,low
,277.21,0.0,0.0,1,Clear,sky is clear,2012-10-16 04:00:00,medium
,276.61,0.0,0.0,1,Clear,sky is clear,2012-10-16 05:00:00,high
,276.11,0.0,0.0,1,Clear,sky is clear,2012-10-16 06:00:00,high
,274.81,0.0,0.0,20,Clouds,few clouds,2012-10-16 07:00:00,high
,274.99,0.0,0.0,20,Clouds,few clouds,2012-10-16 08:00:00,high
,277.91,0.0,0.0,20,Clouds,few clouds,2012-10-16 09:00:00,high
,280.71,0.0,0.0,20,Clouds,few clouds,2012-10-16 10:00:00,high
,283.85,0.0,0.0,20,Clouds,few clouds,2012-10-16 11:00:00,high
,286.01,0.0,0.0,40,Clouds,scattered clouds,2012-10-16 12:00:00,high
,286.31,0.0,0.0,1,Clear,sky is clear,2012-10-16 13:00:00,high
,288.15,0.0,0.0,75,Clouds,broken clouds,2012-10-16 14:00:00,high
,289.15,0.0,0.0,75,Clouds,broken clouds,2012-10-16 15:00:00,high
